asset,model,horizon,n_origins,log_rmse,coverage,wilson_lo,wilson_hi
stocks,ARIMA-t,1,66,0.01301868829073328,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-t,50,66,0.10592074514021393,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-t,100,66,0.15626273002747998,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-t,200,66,0.19275340350742026,0.9545454545454546,0.8746648398478928,0.9844220081051896
stocks,RW-G,1,66,0.013000146040146352,0.9545454545454546,0.8746648398478928,0.9844220081051896
stocks,RW-G,50,66,0.1065431006208935,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,RW-G,100,66,0.15952908442140754,0.9848484848484849,0.9190388760177447,0.9973204284655434
stocks,RW-G,200,66,0.2053929000696364,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,RW-t,1,66,0.013000146040146352,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,RW-t,50,66,0.1065431006208935,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,RW-t,100,66,0.15952908442140754,0.9848484848484849,0.9190388760177447,0.9973204284655434
stocks,RW-t,200,66,0.2053929000696364,0.9696969696969697,0.8960728112941316,0.9916502649240535
sugar,ARIMA-G,1,66,0.014694973856350652,0.9393939393939394,0.8542688489926583,0.9761817706953214
sugar,ARIMA-G,50,66,0.09154551833612264,0.9393939393939394,0.8542688489926583,0.9761817706953214
sugar,ARIMA-G,100,66,0.12417863970747338,0.9545454545454546,0.8746648398478928,0.9844220081051896
sugar,ARIMA-G,200,66,0.19402051234343531,0.9242424242424242,0.834605945487485,0.9672084459353918
sugar,ARIMA-t,1,66,0.014694973856350652,0.9696969696969697,0.8960728112941316,0.9916502649240535
sugar,ARIMA-t,50,66,0.09154551833612264,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,ARIMA-t,100,66,0.12417863970747338,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,ARIMA-t,200,66,0.19402051234343531,0.9545454545454546,0.8746648398478928,0.9844220081051896
sugar,RW-G,1,66,0.014676412449108478,0.9242424242424242,0.834605945487485,0.9672084459353918
sugar,RW-G,50,66,0.09248295847981623,0.9545454545454546,0.8746648398478928,0.9844220081051896
sugar,RW-G,100,66,0.12621575605543303,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,RW-G,200,66,0.2000177133095323,0.9545454545454546,0.8746648398478928,0.9844220081051896
sugar,RW-t,1,66,0.014676412449108478,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,RW-t,50,66,0.09248295847981623,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,RW-t,100,66,0.12621575605543303,0.9848484848484849,0.9190388760177447,0.9973204284655434
sugar,RW-t,200,66,0.2000177133095323,0.9848484848484849,0.9190388760177447,0.9973204284655434
tranquillity,ARIMA-G,1,66,0.012228682816847757,0.8787878787878788,0.7786234136612515,0.9372822929663172
tranquillity,ARIMA-G,50,66,0.08078912898752887,0.9242424242424242,0.834605945487485,0.9672084459353918
tranquillity,ARIMA-G,100,66,0.10859968097838339,0.9696969696969697,0.8960728112941316,0.9916502649240535
tranquillity,ARIMA-G,200,66,0.1757187486684986,0.9242424242424242,0.834605945487485,0.9672084459353918
tranquillity,ARIMA-t,1,66,0.012228682816847757,0.9090909090909091,0.8155105617491718,0.9576676014086023
tranquillity,ARIMA-t,50,66,0.08078912898752887,0.9696969696969697,0.8960728112941316,0.9916502649240535
tranquillity,ARIMA-t,100,66,0.10859968097838339,0.9696969696969697,0.8960728112941316,0.9916502649240535
tranquillity,ARIMA-t,200,66,0.1757187486684986,0.9393939393939394,0.8542688489926583,0.9761817706953214
tranquillity,RW-G,1,66,0.012154102192758727,0.9545454545454546,0.8746648398478928,0.9844220081051896
tranquillity,RW-G,50,66,0.08147664482241275,0.9696969696969697,0.8960728112941316,0.9916502649240535
tranquillity,RW-G,100,66,0.11005341136810305,0.9848484848484849,0.9190388760177447,0.9973204284655434
tranquillity,RW-G,200,66,0.18118498359055796,0.9545454545454546,0.8746648398478928,0.9844220081051896
tranquillity,RW-t,1,66,0.012154102192758727,0.9545454545454546,0.8746648398478928,0.9844220081051896
tranquillity,RW-t,50,66,0.08147664482241275,0.9848484848484849,0.9190388760177447,0.9973204284655434
tranquillity,RW-t,100,66,0.11005341136810305,1.0,0.9449955327483907,1.0
tranquillity,RW-t,200,66,0.18118498359055796,0.9696969696969697,0.8960728112941316,0.9916502649240535
water,ARIMA-G,1,60,0.003028198050804109,0.9833333333333333,0.9114466177322051,0.9970519161391262
water,ARIMA-G,50,60,0.02304709649584879,0.9666666666666667,0.8863601247107462,0.9908108735098498
water,ARIMA-G,100,60,0.03891937901052829,0.9166666666666666,0.8193083153188752,0.9638800759495141
water,ARIMA-G,200,60,0.05591762710543906,0.9,0.7985030550748896,0.9533578005427642
water,ARIMA-t,1,60,0.003028198050804109,0.9833333333333333,0.9114466177322051,0.9970519161391262
water,ARIMA-t,50,60,0.02304709649584879,0.9666666666666667,0.8863601247107462,0.9908108735098498
water,ARIMA-t,100,60,0.03891937901052829,0.9833333333333333,0.9114466177322051,0.9970519161391262
water,ARIMA-t,200,60,0.05591762710543906,0.9333333333333333,0.8407442010623228,0.973771725856802
water,RW-G,1,60,0.003045070078920357,0.9833333333333333,0.9114466177322051,0.9970519161391262
water,RW-G,50,60,0.02254286239956523,1.0,0.9398260695220669,0.9999999999999999
water,RW-G,100,60,0.03726336302707436,0.9333333333333333,0.8407442010623228,0.973771725856802
water,RW-G,200,60,0.05137981516851856,0.9333333333333333,0.8407442010623228,0.973771725856802
water,RW-t,1,60,0.003045070078920357,0.9833333333333333,0.9114466177322051,0.9970519161391262
water,RW-t,50,60,0.02254286239956523,1.0,0.9398260695220669,0.9999999999999999
water,RW-t,100,60,0.03726336302707436,0.95,0.8629926537490016,0.9828508088208587
water,RW-t,200,60,0.05137981516851856,0.9333333333333333,0.8407442010623228,0.973771725856802
