asset,model,origin,u_pit
gurkor,ARIMA-t,2950,0.6162082255572883
gurkor,RW-G,3000,0.3868350809282858
gurkor,RW-t,3000,0.3890199223863677
gurkor,ARIMA-G,3000,0.5949846792366544
gurkor,ARIMA-t,3000,0.5932043438267594
gurkor,RW-G,3050,0.3485396061453464
gurkor,RW-t,3050,0.3515687913496131
gurkor,ARIMA-G,3050,0.5551558818422295
gurkor,ARIMA-t,3050,0.5541488704749747
gurkor,RW-G,3100,0.1580986698575222
gurkor,RW-t,3100,0.1669699336018478
gurkor,ARIMA-G,3100,0.3231063908697941
gurkor,ARIMA-t,3100,0.326732783155364
gurkor,RW-G,3150,0.3730373192928985
gurkor,RW-t,3150,0.375533974203238
gurkor,ARIMA-G,3150,0.5697429536128555
gurkor,ARIMA-t,3150,0.5684473574528389
gurkor,RW-G,3200,0.1025853449160753
gurkor,RW-t,3200,0.1133265631428057
gurkor,ARIMA-G,3200,0.2361828237052495
gurkor,ARIMA-t,3200,0.2422455918735179
gurkor,RW-G,3450,0.5304084077721007
gurkor,RW-t,3450,0.5298485495620202
gurkor,ARIMA-G,3450,0.6930851552502071
gurkor,ARIMA-t,3450,0.6890535017553637
gurkor,RW-G,3500,0.3449285357430303
gurkor,RW-t,3500,0.3480638412152917
gurkor,ARIMA-G,3500,0.5176588742539205
gurkor,ARIMA-t,3500,0.5173361780982569
gurkor,RW-G,3550,0.3675068221100077
gurkor,RW-t,3550,0.3701457862482213
gurkor,ARIMA-G,3550,0.5421287615508223
gurkor,ARIMA-t,3550,0.5413469582260045
gurkor,RW-G,3600,0.3825074600802473
gurkor,RW-t,3600,0.3848174949662526
gurkor,ARIMA-G,3600,0.5593228074708232
gurkor,ARIMA-t,3600,0.5582130542443198
gurkor,RW-G,3650,0.7062810278226631
gurkor,RW-t,3650,0.7017692902120771
gurkor,ARIMA-G,3650,0.8336842991756828
gurkor,ARIMA-t,3650,0.825069111951426
gurkor,RW-G,3700,0.9507774631849816
gurkor,RW-t,3700,0.938915261320594
gurkor,ARIMA-G,3700,0.978312231353878
gurkor,ARIMA-t,3700,0.9679424588388
gurkor,RW-G,3750,0.8878030998431332
gurkor,RW-t,3750,0.8771408488824868
gurkor,ARIMA-G,3750,0.9446989383964498
gurkor,ARIMA-t,3750,0.9329443648246524
gurkor,RW-G,3800,0.8261902060061337
gurkor,RW-t,3800,0.817755428142321
gurkor,ARIMA-G,3800,0.908946069342514
gurkor,ARIMA-t,3800,0.897755385550811
gurkor,RW-G,3850,0.6783177909815064
gurkor,RW-t,3850,0.674591345880069
gurkor,ARIMA-G,3850,0.8192679418250135
gurkor,ARIMA-t,3850,0.8112449076136206
gurkor,RW-G,3900,0.8971571282690032
gurkor,RW-t,3900,0.8863193906399711
gurkor,ARIMA-G,3900,0.9573764922892802
gurkor,ARIMA-t,3900,0.9459184917400248
gurkor,RW-G,4150,0.4444467599326502
gurkor,RW-t,4150,0.4455980684047079
gurkor,ARIMA-G,4150,0.6493924067433878
gurkor,ARIMA-t,4150,0.6460786364399194
gurkor,RW-G,4200,0.3575439936935064
gurkor,RW-t,4200,0.3607631665449534
gurkor,ARIMA-G,4200,0.5580533283904254
gurkor,ARIMA-t,4200,0.5568302833435977
gurkor,RW-G,4250,0.4446631846942238
gurkor,RW-t,4250,0.4458332760048092
gurkor,ARIMA-G,4250,0.6385008162733168
gurkor,ARIMA-t,4250,0.6353989371509232
gurkor,RW-G,4300,0.8064257505098618
gurkor,RW-t,4300,0.7979188767825718
gurkor,ARIMA-G,4300,0.9099646831780972
gurkor,ARIMA-t,4300,0.8975755171922402
gurkor,RW-G,4350,0.6781239752388722
gurkor,RW-t,4350,0.6739982677031164
gurkor,ARIMA-G,4350,0.8332688407650725
gurkor,ARIMA-t,4350,0.8238012010905594
gurkor,RW-G,4400,0.8244639136617498
gurkor,RW-t,4400,0.8153719388900055
gurkor,ARIMA-G,4400,0.9211835156025588
gurkor,ARIMA-t,4400,0.908681442966447
gurkor,RW-G,4450,0.6981882677924984
gurkor,RW-t,4450,0.6935183234513622
gurkor,ARIMA-G,4450,0.8419149193336806
gurkor,ARIMA-t,4450,0.8321808402682218
gurkor,RW-G,4500,0.2370740446749359
gurkor,RW-t,4500,0.2438013486528953
gurkor,ARIMA-G,4500,0.4266168879255292
gurkor,ARIMA-t,4500,0.4281267762007033
gurkor,RW-G,4550,0.5075603061821605
gurkor,RW-t,4550,0.5074089891535513
gurkor,ARIMA-G,4550,0.7094464623179273
gurkor,ARIMA-t,4550,0.7045507178113802
gurkor,RW-G,4600,0.7819110527582063
gurkor,RW-t,4600,0.7746146467425299
gurkor,ARIMA-G,4600,0.9040580510703708
gurkor,ARIMA-t,4600,0.8922786461761115
gurkor,RW-G,4650,0.8990247153970686
gurkor,RW-t,4650,0.8873456614079386
gurkor,ARIMA-G,4650,0.9627456560512891
gurkor,ARIMA-t,4650,0.950588574108719
gurkor,RW-G,4700,0.9637344054696084
gurkor,RW-t,4700,0.9516255835900808
gurkor,ARIMA-G,4700,0.988909719043297
gurkor,ARIMA-t,4700,0.979877919401105
gurkor,RW-G,4750,0.7001352312984034
gurkor,RW-t,4750,0.695540716271354
gurkor,ARIMA-G,4750,0.8552210028955893
gurkor,ARIMA-t,4750,0.8452478715423671
gurkor,RW-G,4800,0.6242783308829306
gurkor,RW-t,4800,0.6216811146771116
gurkor,ARIMA-G,4800,0.8103711162467845
gurkor,ARIMA-t,4800,0.8021724135439605
gurkor,RW-G,4850,0.5312241682696885
gurkor,RW-t,4850,0.5306150722973297
gurkor,ARIMA-G,4850,0.7389304026371062
gurkor,ARIMA-t,4850,0.7332840417236786
gurkor,RW-G,4900,0.4353206256079752
gurkor,RW-t,4900,0.4365965288942589
gurkor,ARIMA-G,4900,0.6583282473745999
gurkor,ARIMA-t,4900,0.6549634376112514
gurkor,RW-G,4950,0.5160301910067663
gurkor,RW-t,4950,0.5157199549718416
gurkor,ARIMA-G,4950,0.7240426663040094
gurkor,ARIMA-t,4950,0.7188822286864385
gurkor,RW-G,5000,0.2775729278833524
gurkor,RW-t,5000,0.282721845714277
